"ID","Key","Value"
"id-a4d6403102aa4da9aac0ad0d90a7848d","Junction_Type","And"
"id-071b91fecf294ee6a43b6e8720ba0bc1","Junction_Type","And"
"id-331da3e533c44dcca680c6d3b07d97cd","Junction_Type","And"
"id-49ed81bb316649c7b6b67167b55d3ed4","Directed","false"
"id-da70f445c37b4a91a8762175903a6b89","Directed","false"
"id-23e0ec66dcb1470fa00df6eec5e858f2","Directed","false"
"id-bb145367dc8840afac97f1219b2f6b27","Directed","false"
"id-882e73e4aa9a419fa1306c7ea1d1651b","Directed","false"
"id-fe2b7284dabb4be9978880b85513156f","Directed","false"
"id-35b52c7c41d54ac3bcd7b7b66235f063","Directed","false"
"id-d70ae2e191e2437db7f5195606e846ce","Directed","false"
"id-8492d9dfe601429ab2852b163367e01c","Directed","false"
"id-e4d9eac6043a4465aae9bc8ddb4e19bb","Directed","false"
"id-8cc042d471904b5793eb3a36429367bf","Directed","false"
"id-d923f4626e5040fba6c617875f89d259","Influence_Strength","+"
"id-aed0cad4085b42779c422c16dfff1e64","Influence_Strength","+"
"id-426c6615ef9340fdbca3a5b9ea181489","Influence_Strength","+"
"id-fff33378cff443dfbb46037772864261","Influence_Strength","++"
"id-ae54f53f9845435d8dafd1cf581ea1d1","Influence_Strength","+"
"id-e096cce68b074247ad1215c33cb41955","Influence_Strength","++"
"id-e7b706a77b6f4a53a177098d73113fe6","Influence_Strength","+"
"id-65b3d0933ae4479c88036ee202dc2a4a","Influence_Strength","+"
"id-b6efb8e939304d20aa183003a3aa8cf8","Influence_Strength","++"
"id-3c46bca4f45b453599d4d7b02e6490f4","Influence_Strength","+"
"id-0ef0e26bd144462eb91b594d1822f9de","Influence_Strength","+"
"id-687a0cf134bd444e84e1802b4374ccae","Directed","false"
"id-9e6537a0d0604ca5911c7756aefd579a","Influence_Strength","+"